ROW,TAXON_NAME,TAXA_COARSE,NOTE
2867,Ctenophora,Ctenophora,
2938,Ctenophora,Ctenophora,
3117,Ctenophora,Ctenophora,
3170,Ctenophora,Ctenophora,
3226,Ctenophora,Ctenophora,
4042,Ctenophora,Ctenophora,
4931,Ctenophora,Ctenophora,
5022,Ctenophora,Ctenophora,
5107,Ctenophora,Ctenophora,
5189,Ctenophora,Ctenophora,
5350,Ctenophora,Ctenophora,
5435,Ctenophora,Ctenophora,
5518,Ctenophora,Ctenophora,
5595,Ctenophora,Ctenophora,
5686,Ctenophora,Ctenophora,
5770,Ctenophora,Ctenophora,
5858,Ctenophora,Ctenophora,
5940,Ctenophora,Ctenophora,
6023,Ctenophora,Ctenophora,
6107,Ctenophora,Ctenophora,
6192,Ctenophora,Ctenophora,
6289,Ctenophora,Ctenophora,
6383,Ctenophora,Ctenophora,
6677,Ctenophora,Ctenophora,
6768,Ctenophora,Ctenophora,
6859,Ctenophora,Ctenophora,
7026,Ctenophora,Ctenophora,
7113,Ctenophora,Ctenophora,
7630,Ctenophora,Ctenophora,
7849,Ctenophora,Ctenophora,
7926,Ctenophora,Ctenophora,
8163,Ctenophora,Ctenophora,
8459,Ctenophora,Ctenophora,
8809,Ctenophora,Ctenophora,
9757,Ctenophora,Ctenophora,
9860,Ctenophora,Ctenophora,
9964,Ctenophora,Ctenophora,
10074,Ctenophora,Ctenophora,
10123,Ctenophora,Ctenophora,
10174,Ctenophora,Ctenophora,
10228,Ctenophora,Ctenophora,
10427,Ctenophora,Ctenophora,
10475,Ctenophora,Ctenophora,
10520,Ctenophora,Ctenophora,
10570,Ctenophora,Ctenophora,
10607,Ctenophora,Ctenophora,
10672,Ctenophora,Ctenophora,
10793,Ctenophora,Ctenophora,
10855,Ctenophora,Ctenophora,
10924,Ctenophora,Ctenophora,
11035,Ctenophora,Ctenophora,
11090,Ctenophora,Ctenophora,
11145,Ctenophora,Ctenophora,
11261,Ctenophora,Ctenophora,
11483,Ctenophora,Ctenophora,
11543,Ctenophora,Ctenophora,
11623,Ctenophora,Ctenophora,
11800,Ctenophora,Ctenophora,
11871,Ctenophora,Ctenophora,
11981,Ctenophora,Ctenophora,
12417,Ctenophora,Ctenophora,
12463,Ctenophora,Ctenophora,
12624,Ctenophora,Ctenophora,
12879,Ctenophora,Ctenophora,
12937,Ctenophora,Ctenophora,
13197,Ctenophora,Ctenophora,
13823,Ctenophora,Ctenophora,
13941,Ctenophora,Ctenophora,
14035,Ctenophora,Ctenophora,
14137,Ctenophora,Ctenophora,
14302,Ctenophora,Ctenophora,
15393,Ctenophora,Ctenophora,
15494,Ctenophora,Ctenophora,
15588,Ctenophora,Ctenophora,
15694,Ctenophora,Ctenophora,
15803,Ctenophora,Ctenophora,
15889,Ctenophora,Ctenophora,
16495,Ctenophora,Ctenophora,
16549,Ctenophora,Ctenophora,
16670,Ctenophora,Ctenophora,
16740,Ctenophora,Ctenophora,
16797,Ctenophora,Ctenophora,
16856,Ctenophora,Ctenophora,
16965,Ctenophora,Ctenophora,
17013,Ctenophora,Ctenophora,
17072,Ctenophora,Ctenophora,
17198,Ctenophora,Ctenophora,
17267,Ctenophora,Ctenophora,
17331,Ctenophora,Ctenophora,
17564,Ctenophora,Ctenophora,
17637,Ctenophora,Ctenophora,
18060,Ctenophora,Ctenophora,
18502,Ctenophora,Ctenophora,
18699,Ctenophora,Ctenophora,
18862,Ctenophora,Ctenophora,
19025,Ctenophora,Ctenophora,
19344,Ctenophora,Ctenophora,
19571,Ctenophora,Ctenophora,
19723,Ctenophora,Ctenophora,
19945,Ctenophora,Ctenophora,
19998,Ctenophora,Ctenophora,
20376,Ctenophora,Ctenophora,
20441,Ctenophora,Ctenophora,
20513,Ctenophora,Ctenophora,
